1300_1330vwap,935_940vwap,amount,direction,excutointime_13:00_vwap,excutointime_9:35_vwap,instrument,pnl_buy_935-940,pnl_buy_excutointime,pnl_sell_1300-1330,pnl_sell_excutointime,price,tradingday,tradingtime,volume
NaN,42.47089716,67728.32,BUY,NaN,42.47139226,688516.SH,-16.95688468,-16.84011575,NaN,NaN,42.54291457,20251118,09:40:01,1592
NaN,26.06293264,73119.2,BUY,NaN,26.0891466,688518.SH,-19.59386436,-9.52633778,NaN,NaN,26.114,20251118,09:39:04,2800
NaN,10.30975523,57814.4,BUY,NaN,10.32573656,688556.SH,-13.81678449,1.68177659,NaN,NaN,10.324,20251118,09:39:05,5600
NaN,55.81882012,89347.2,BUY,NaN,55.82045589,688559.SH,-4.15269938,-3.859537319,NaN,NaN,55.842,20251118,09:39:01,1600
NaN,15.67508459,18840,BUY,NaN,15.68944895,688560.SH,-15.89491384,-6.724932931,NaN,NaN,15.7,20251118,09:39:03,1200
NaN,18.62201286,133977.6,BUY,NaN,18.64098394,688567.SH,7.524891911,17.69431263,NaN,NaN,18.608,20251118,09:39:01,7200
NaN,27.53431898,11102,BUY,NaN,27.71282939,688573.SH,-80.14762098,-15.2169981,NaN,NaN,27.755,20251118,09:37:01,400
NaN,31.58777356,57074.4,BUY,NaN,31.65113683,688598.SH,-38.06106835,-17.96560255,NaN,NaN,31.708,20251118,09:39:05,1800
NaN,21.37559639,234916,BUY,NaN,21.39230281,688599.SH,9.167646424,16.97003263,NaN,NaN,21.356,20251118,09:39:06,11000
NaN,33.0702221,9880.38,BUY,NaN,32.78442612,688612.SH,41.01033745,-45.80646758,NaN,NaN,32.9346,20251118,09:36:01,300
NaN,16.59246541,72978.4,BUY,NaN,16.59453508,688660.SH,3.896596712,5.143305349,NaN,NaN,16.586,20251118,09:39:01,4400
NaN,46.10735497,18542,BUY,NaN,46.3799468,688680.SH,-53.71052727,5.378790637,NaN,NaN,46.355,20251118,09:36:28,400
NaN,17.75103987,53400,BUY,NaN,17.79040269,688707.SH,-27.5815556,-5.394657579,NaN,NaN,17.8,20251118,09:39:02,3000
NaN,66.90698232,40308,BUY,NaN,67.15623634,688717.SH,-40.80555942,-3.538563261,NaN,NaN,67.18,20251118,09:37:01,600
NaN,45.10668894,18136,BUY,NaN,45.32698651,688726.SH,-51.72427166,-2.871025465,NaN,NaN,45.34,20251118,09:36:17,400
NaN,32.57924041,45757.6,BUY,NaN,32.66220326,688733.SH,-32.15531992,-6.673382057,NaN,NaN,32.684,20251118,09:39:01,1400
NaN,80.88498015,154280,BUY,NaN,81.059683,688778.SH,-38.94664324,-17.31033168,NaN,NaN,81.2,20251118,09:39:02,1900
NaN,8.929194011,100307.2,BUY,NaN,8.954382365,688779.SH,-30.02061482,-1.806528405,NaN,NaN,8.956,20251118,09:39:13,11200
