Exchange,Instrument,Time,Last,AskPrice,BidPrice,AskVolume,BidVolume,Volume
0,601607.SH,91815000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 3100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91845000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 7100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91848000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 7100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91900000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 7100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91903000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 7100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91906000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9700, 7100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91909000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6600, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91915000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6600, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91924000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91927000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91933000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91936000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91939000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91942000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91951000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 6700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,91957000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 7700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92000000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10200, 7700, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92003000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7800, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92006000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92009000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92015000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92018000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92024000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92033000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92039000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92042000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92048000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92054000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92103000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92109000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92112000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10300, 7900, 0, 0, 0, 0, 0, 0, 0, 0]",0
