order_id,order_time,exchange,exchange_name,direction,direction_name,volume,price,ask1,bid1,delta_position
PASSIVE_1073,2024-01-02 10:24:09.000,0,上海,1,买入,300,16.95,16.96,16.94,16200
PASSIVE_1074,2024-01-02 10:25:09.000,0,上海,1,买入,300,16.94,16.95,16.94,16200
PASSIVE_MKT_1075,2024-01-02 10:25:09.000,0,上海,1,买入,300,16.95,16.95,16.94,16200
PASSIVE_1076,2024-01-02 10:26:09.000,0,上海,1,买入,300,16.94,16.95,16.94,16800
PASSIVE_1077,2024-01-02 10:27:09.000,0,上海,1,买入,300,16.96,16.96,16.94,17100
PASSIVE_1078,2024-01-02 10:28:09.000,0,上海,1,买入,300,16.96,16.96,16.94,17400
PASSIVE_1079,2024-01-02 10:29:09.000,0,上海,1,买入,300,16.96,16.97,16.96,17700
PASSIVE_1080,2024-01-02 10:30:09.000,0,上海,1,买入,300,16.96,16.97,16.96,18000
PASSIVE_1081,2024-01-02 10:31:09.000,0,上海,1,买入,300,16.97,16.98,16.97,18000
PASSIVE_MKT_1082,2024-01-02 10:31:09.000,0,上海,1,买入,300,16.98,16.98,16.97,18000
PASSIVE_1083,2024-01-02 10:32:09.000,0,上海,1,买入,300,16.99,17.0,16.99,18300
PASSIVE_MKT_1084,2024-01-02 10:32:09.000,0,上海,1,买入,300,17.0,17.0,16.99,18300
PASSIVE_1085,2024-01-02 10:33:09.000,0,上海,1,买入,300,17.01,17.02,17.01,18600
PASSIVE_MKT_1086,2024-01-02 10:33:09.000,0,上海,1,买入,300,17.02,17.02,17.01,18600
PASSIVE_1087,2024-01-02 10:34:09.000,0,上海,1,买入,300,17.0,17.02,17.0,19200
PASSIVE_1088,2024-01-02 10:35:09.000,0,上海,1,买入,300,17.01,17.01,17.0,19500
PASSIVE_1089,2024-01-02 10:36:09.000,0,上海,1,买入,300,17.03,17.04,17.03,19800
PASSIVE_1090,2024-01-02 10:37:09.000,0,上海,1,买入,300,17.04,17.05,17.04,19800
PASSIVE_MKT_1091,2024-01-02 10:37:09.000,0,上海,1,买入,300,17.05,17.05,17.04,19800
PASSIVE_1092,2024-01-02 10:38:09.000,0,上海,1,买入,300,17.07,17.1,17.09,20100
PASSIVE_MKT_1093,2024-01-02 10:38:09.000,0,上海,1,买入,300,17.09,17.1,17.09,20100
PASSIVE_1094,2024-01-02 10:39:09.000,0,上海,1,买入,300,17.08,17.09,17.08,20400
PASSIVE_MKT_1095,2024-01-02 10:39:09.000,0,上海,1,买入,300,17.09,17.09,17.08,20400
PASSIVE_1096,2024-01-02 10:40:09.000,0,上海,1,买入,300,17.09,17.1,17.09,20700
PASSIVE_MKT_1097,2024-01-02 10:40:09.000,0,上海,1,买入,300,17.1,17.1,17.09,20700
PASSIVE_1098,2024-01-02 10:41:09.000,0,上海,1,买入,300,17.08,17.09,17.08,21300
PASSIVE_1099,2024-01-02 10:42:09.000,0,上海,1,买入,300,17.05,17.06,17.05,21600
PASSIVE_1100,2024-01-02 10:43:09.000,0,上海,1,买入,300,17.04,17.05,17.04,21900
PASSIVE_1101,2024-01-02 10:44:09.000,0,上海,1,买入,300,17.04,17.05,17.04,21900
PASSIVE_MKT_1102,2024-01-02 10:44:09.000,0,上海,1,买入,300,17.05,17.05,17.04,21900
PASSIVE_1103,2024-01-02 10:45:09.000,0,上海,1,买入,300,17.04,17.05,17.04,22500
PASSIVE_1104,2024-01-02 10:46:09.000,0,上海,1,买入,300,17.04,17.05,17.04,22800
PASSIVE_1105,2024-01-02 10:47:09.000,0,上海,1,买入,300,17.04,17.05,17.04,23100
PASSIVE_1106,2024-01-02 10:48:09.000,0,上海,1,买入,300,17.02,17.03,17.02,23400
PASSIVE_1107,2024-01-02 10:49:09.000,0,上海,1,买入,300,17.01,17.02,17.01,23700
PASSIVE_1108,2024-01-02 10:50:09.000,0,上海,1,买入,300,17.01,17.02,17.01,24000
PASSIVE_1109,2024-01-02 10:51:09.000,0,上海,1,买入,300,17.01,17.02,17.01,24300
PASSIVE_1110,2024-01-02 10:52:09.000,0,上海,1,买入,300,17.0,17.01,17.0,24600
PASSIVE_1111,2024-01-02 10:53:09.000,0,上海,1,买入,300,17.0,17.01,17.0,24600
PASSIVE_MKT_1112,2024-01-02 10:53:09.000,0,上海,1,买入,300,17.01,17.01,17.0,24600
PASSIVE_1113,2024-01-02 10:54:09.000,0,上海,1,买入,300,17.0,17.01,17.0,25200
PASSIVE_1114,2024-01-02 10:55:09.000,0,上海,1,买入,300,16.98,16.99,16.98,25500
PASSIVE_1115,2024-01-02 10:56:09.000,0,上海,1,买入,300,16.96,16.97,16.96,25800
PASSIVE_1116,2024-01-02 10:57:09.000,0,上海,1,买入,300,16.95,16.95,16.94,26100
PASSIVE_1117,2024-01-02 10:58:09.000,0,上海,1,买入,300,16.93,16.94,16.93,26400
PASSIVE_1118,2024-01-02 10:59:09.000,0,上海,1,买入,300,16.94,16.95,16.94,26400
PASSIVE_MKT_1119,2024-01-02 10:59:09.000,0,上海,1,买入,300,16.95,16.95,16.94,26400
PASSIVE_1120,2024-01-02 11:00:09.000,0,上海,1,买入,300,16.93,16.94,16.93,27000
PASSIVE_1121,2024-01-02 11:01:09.000,0,上海,1,买入,300,16.92,16.93,16.92,27300
