Date,StockCode,File
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-08.log:19607
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-08.log:19608
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-08.log:19610
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-08.log:19611
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-08.log:19613
2025-12-08,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-08.log:19615
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-11.log:23638
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-11.log:23639
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-11.log:23641
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-11.log:23642
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-11.log:23644
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-11.log:23645
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-11.log:23647
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-11.log:23648
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-11.log:23650
2025-12-11,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-11.log:23652
2025-12-12,301205.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-12.log:87
2025-11-17,688518.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:166
2025-11-17,688518.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:485
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:619
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:620
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:622
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:623
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:625
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:626
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:628
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:629
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:631
2025-11-17,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:633
2025-11-17,688005.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:8788
2025-11-17,688005.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:8789
2025-11-17,688005.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_own/2025-11-17.log:8791
