Exchange,Instrument,Time,Last,BidPrice,AskPrice,BidVolume,AskVolume,Volume
1,000488.SZ,93030000,32100,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30900, 26063000000, 0, 0, 0, 0, 0, 0, 0, 0]","[67000, 191300, 198200, 254200, 323600, 227000, 273000, 509200, 83850, 69100]","[3, 4899550, 0, 0, 0, 0, 0, 0, 0, 0]",1695500
1,000488.SZ,93033000,32100,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30900, 26240000000, 0, 0, 0, 0, 0, 0, 0, 0]","[81400, 191300, 199400, 254200, 323600, 252500, 259100, 509200, 83850, 69300]","[3, 4911350, 0, 0, 0, 0, 0, 0, 0, 0]",1696500
1,000488.SZ,93036000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30900, 26037000000, 0, 0, 0, 0, 0, 0, 0, 0]","[54500, 192900, 204400, 254200, 323600, 241300, 269100, 509200, 83850, 69300]","[3, 4910750, 0, 0, 0, 0, 0, 0, 0, 0]",1713700
1,000488.SZ,93039000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30900, 26057000000, 0, 0, 0, 0, 0, 0, 0, 0]","[52800, 192900, 204900, 254200, 326300, 300100, 239100, 509200, 80450, 74300]","[3, 4944250, 0, 0, 0, 0, 0, 0, 0, 0]",1722800
1,000488.SZ,93042000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30900, 26154000000, 0, 0, 0, 0, 0, 0, 0, 0]","[56500, 189800, 211000, 254200, 326300, 330400, 237800, 509200, 80450, 74300]","[3, 4973250, 0, 0, 0, 0, 0, 0, 0, 0]",1733100
1,000488.SZ,93045000,32000,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30900, 25594000000, 0, 0, 0, 0, 0, 0, 0, 0]","[190300, 211000, 254200, 326300, 187700, 16800, 299400, 237300, 509200, 80450]","[3, 4969550, 0, 0, 0, 0, 0, 0, 0, 0]",1810700
1,000488.SZ,93048000,32000,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30900, 25579000000, 0, 0, 0, 0, 0, 0, 0, 0]","[183800, 211000, 254200, 326300, 187700, 99200, 297900, 233400, 509200, 80450]","[3, 5046550, 0, 0, 0, 0, 0, 0, 0, 0]",1825300
1,000488.SZ,93051000,32000,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30800, 25137000000, 0, 0, 0, 0, 0, 0, 0, 0]","[133000, 211000, 259200, 327900, 187700, 265900, 297900, 233500, 509200, 80450]","[3, 5250550, 0, 0, 0, 0, 0, 0, 0, 0]",1907900
1,000488.SZ,93054000,31900,"[31800, 31700, 31600, 31500, 31400, 31900, 32000, 32100, 32200, 32300]","[30800, 24103000000, 0, 0, 0, 0, 0, 0, 0, 0]","[211500, 279200, 328200, 187700, 62100, 34600, 263600, 297400, 233500, 509200]","[3, 5275850, 0, 0, 0, 0, 0, 0, 0, 0]",2051900
1,000488.SZ,93057000,31900,"[31800, 31700, 31600, 31500, 31400, 31900, 32000, 32100, 32200, 32300]","[30800, 24135000000, 0, 0, 0, 0, 0, 0, 0, 0]","[209500, 279200, 328200, 187700, 62100, 34600, 266600, 297100, 229900, 509200]","[3, 5279050, 0, 0, 0, 0, 0, 0, 0, 0]",2054300
1,000488.SZ,93100000,31800,"[31800, 31700, 31600, 31500, 31400, 31900, 32000, 32100, 32200, 32300]","[30800, 23976000000, 0, 0, 0, 0, 0, 0, 0, 0]","[191600, 279200, 328200, 187700, 62100, 83800, 269800, 297100, 229900, 509200]","[3, 5334650, 0, 0, 0, 0, 0, 0, 0, 0]",2077300
1,000488.SZ,93103000,31800,"[31800, 31700, 31600, 31500, 31400, 31900, 32000, 32100, 32200, 32300]","[30800, 23887000000, 0, 0, 0, 0, 0, 0, 0, 0]","[178800, 279200, 328200, 191000, 62100, 81700, 269600, 286500, 229900, 509200]","[3, 5323250, 0, 0, 0, 0, 0, 0, 0, 0]",2092200
1,000488.SZ,93106000,31900,"[31800, 31700, 31600, 31500, 31400, 31900, 32000, 32100, 32200, 32300]","[30800, 23748000000, 0, 0, 0, 0, 0, 0, 0, 0]","[171900, 272200, 328200, 191000, 62100, 211000, 269600, 286500, 229900, 509200]","[3, 5453050, 0, 0, 0, 0, 0, 0, 0, 0]",2139500
1,000488.SZ,93109000,31900,"[31800, 31700, 31600, 31500, 31400, 32000, 32100, 32200, 32300, 32400]","[30800, 24048000000, 0, 0, 0, 0, 0, 0, 0, 0]","[184800, 275200, 329200, 194100, 62100, 279600, 286500, 229900, 506200, 73950]","[3, 5250550, 0, 0, 0, 0, 0, 0, 0, 0]",2385300
1,000488.SZ,93112000,31900,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30800, 24733000000, 0, 0, 0, 0, 0, 0, 0, 0]","[64000, 188800, 276200, 330700, 194100, 279600, 286500, 229900, 506200, 73950]","[3, 5253750, 0, 0, 0, 0, 0, 0, 0, 0]",2412100
1,000488.SZ,93115000,31900,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30800, 24617000000, 0, 0, 0, 0, 0, 0, 0, 0]","[46900, 191800, 277200, 330700, 194100, 279700, 286500, 229900, 506200, 73950]","[3, 5374950, 0, 0, 0, 0, 0, 0, 0, 0]",2429200
1,000488.SZ,93118000,32000,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30800, 24778000000, 0, 0, 0, 0, 0, 0, 0, 0]","[28400, 223900, 278200, 330700, 195600, 204900, 286500, 229900, 506200, 73950]","[3, 5300150, 0, 0, 0, 0, 0, 0, 0, 0]",2514900
